test;index;Pearson's r;95% CI;t-statistic;p-value (r);Spearman's rho;S statistic;p-value (rho)
1_verbalni_pamet_a_uceni;1_konfab_1.4;.18;[-.13, .45];1.159;.253;.20;11409.8;.202
1_verbalni_pamet_a_uceni;1_opak_1.4;.39;[.10, .61];2.705;.010;.49;7289.5;< .001
1_verbalni_pamet_a_uceni;1_pok1;.44;[.16, .65];3.145;.003;.47;7507.7;.001
1_verbalni_pamet_a_uceni;1_pok2;.37;[.08, .60];2.550;.015;.38;8761.1;.010
1_verbalni_pamet_a_uceni;1_pok3;.42;[.14, .64];3.009;.004;.47;7494.4;.001
1_verbalni_pamet_a_uceni;1_pok4;.60;[.37, .76];4.838;< .001;.59;5818.1;< .001
1_verbalni_pamet_a_uceni;1_pok5;.64;[.43, .79];5.416;< .001;.58;5934.5;< .001
1_verbalni_pamet_a_uceni;1_pok6;.58;[.34, .75];4.640;< .001;.55;6388.1;< .001
1_verbalni_pamet_a_uceni;1_pok7;.40;[.12, .63];2.830;.007;.48;6833.4;.001
1_verbalni_pamet_a_uceni;1_pok_1.4;.61;[.38, .77];4.994;< .001;.64;5143.8;< .001
1_verbalni_pamet_a_uceni;1_rekog_nuc_volba;-.10;[-.38, .21];-0.631;.532;-.10;15564.4;.532
1_verbalni_pamet_a_uceni;1_rekog_sumSeznam1;.44;[.17, .65];3.202;.003;.44;7906.2;.003
1_verbalni_pamet_a_uceni;1_rekognice_sumHS;.11;[-.19, .40];0.743;.462;.22;11087.2;.154
2_pamet_na_pribehy_OKAMZITE;2_pribeh1_ok_sum;.76;[.59, .86];7.520;< .001;.75;3586.8;< .001
2_pamet_na_pribehy_OKAMZITE;2_pribeh2_ok_sum;.89;[.81, .94];12.897;< .001;.89;1527.9;< .001
2_pamet_na_pribehy_OKAMZITE;2_sum_1_2;.88;[.79, .93];11.941;< .001;.89;1568.5;< .001
2_pamet_na_pribehy_ODDALENE;2_pribeh1_odd_sum1;.74;[.57, .85];7.100;< .001;.74;3697.2;< .001
2_pamet_na_pribehy_ODDALENE;2_pribeh2_odd_sum;.74;[.57, .85];7.148;< .001;.81;2746.7;< .001
2_pamet_na_pribehy_ODDALENE;2_sum_1_2;.80;[.65, .88];8.525;< .001;.82;2618.4;< .001
4_sluchova_pozornost;4_inhibice;.11;[-.19, .40];0.731;.469;.37;8311.4;.014
4_sluchova_pozornost;4_opomenuti;.26;[-.04, .52];1.758;.086;.30;9209.7;.047
