test;index;test_0;test_1;diff [95% CI];Cohen's d;t-value;df;p-value (t-test);V value;p-value (Wilcoxon);r value
10_konfrontacni_pojmenovani;10_celkem_fon;2.73 ± 1.77;2.54 ± 1.99;-0.18 [0.45, -0.81];-0.09;0.582;43;.563;360.5;.456;0.10
10_konfrontacni_pojmenovani;10_celkem_kat;0.75 ± 1.06;0.57 ± 0.73;-0.18 [0.18, -0.54];-0.15;1.016;43;.315;163.0;.231;0.11
10_konfrontacni_pojmenovani;10_celkem_spont;28.48 ± 4.12;29.77 ± 4.04;1.30 [1.94, 0.65];0.61;-4.054;43;< .001;78.0;< .001;0.53
10_konfrontacni_pojmenovani;10_celkem_spont.kat;29.23 ± 4.01;30.34 ± 4.02;1.11 [1.75, 0.48];0.53;-3.529;43;.001;91.0;< .001;0.50
13_porozumeni_pokynum;13_sumaHS;58.39 ± 2.95;59.73 ± 2.34;1.34 [2.06, 0.62];0.56;-3.735;43;< .001;131.5;.001;0.51
15_motoricka_koordinace;15_leva_r1_celk_cas;11.21 ± 2.96;11.44 ± 3.25;0.22 [1.50, -1.06];0.05;-0.351;43;.727;416.0;.941;0.02
15_motoricka_koordinace;15_leva_r2_celk_cas;24.05 ± 6.01;23.17 ± 6.46;-0.88 [0.98, -2.73];-0.14;0.954;43;.346;639.0;.094;0.25
15_motoricka_koordinace;15_leva_r3_celk_cas;35.82 ± 8.28;34.54 ± 9.26;-1.28 [1.26, -3.82];-0.15;1.014;43;.316;645.0;.081;0.26
15_motoricka_koordinace;15_leva_r4_celk_cas;48.10 ± 12.23;46.24 ± 12.53;-1.86 [1.86, -5.57];-0.15;1.008;43;.319;586.0;.291;0.16
15_motoricka_koordinace;15_prava_r1_celk_cas;10.37 ± 3.60;9.99 ± 3.34;-0.38 [0.88, -1.64];-0.09;0.609;43;.546;474.5;.778;0.04
15_motoricka_koordinace;15_prava_r2_celk_cas;21.20 ± 6.23;20.41 ± 4.54;-0.79 [0.89, -2.47];-0.14;0.947;43;.349;483.5;.694;0.06
15_motoricka_koordinace;15_prava_r3_celk_cas;32.88 ± 9.39;32.28 ± 7.50;-0.60 [1.93, -3.13];-0.07;0.480;43;.634;522.5;.753;0.05
15_motoricka_koordinace;15_prava_r4_celk_cas;44.51 ± 11.60;42.61 ± 9.53;-1.90 [1.37, -5.17];-0.18;1.174;43;.247;605.5;.199;0.19
17_zrakove_vnimani;17_cas_adm (s);126.28 ± 55.94;108.07 ± 40.25;-17.23 [-5.47, -29.00];-0.45;2.955;42;.005;737.5;.001;0.49
17_zrakove_vnimani;17_sum_spravne;17.73 ± 2.70;18.32 ± 1.32;0.59 [1.42, -0.24];0.22;-1.435;43;.158;135.0;.191;0.21
18_zrakove_prostorove_vnimani;18_sum_body;23.27 ± 4.82;24.59 ± 4.22;1.32 [2.48, 0.16];0.35;-2.292;43;.027;167.5;.016;0.33
19_orientace_v_prostoru;19_sum_body;39.66 ± 7.66;39.39 ± 7.94;-0.27 [1.43, -1.98];-0.05;0.323;43;.748;410.5;.780;0.05
1_verbalni_pamet_a_uceni;1_konfab_1.4;0.93 ± 1.82;0.89 ± 1.28;-0.05 [0.57, -0.66];-0.02;0.148;43;.883;142.0;.827;0.05
1_verbalni_pamet_a_uceni;1_opak_1.4;1.68 ± 1.70;1.46 ± 1.44;-0.23 [0.30, -0.76];-0.13;0.861;43;.394;285.5;.260;0.17
1_verbalni_pamet_a_uceni;1_pok1;5.89 ± 1.83;7.07 ± 2.16;1.18 [1.83, 0.53];0.55;-3.667;43;< .001;123.0;< .001;0.50
1_verbalni_pamet_a_uceni;1_pok2;8.70 ± 2.11;9.86 ± 2.00;1.16 [1.86, 0.46];0.50;-3.325;43;.002;160.5;.001;0.48
1_verbalni_pamet_a_uceni;1_pok3;10.25 ± 2.23;11.04 ± 2.09;0.80 [1.50, 0.09];0.34;-2.266;43;.028;152.0;.035;0.29
1_verbalni_pamet_a_uceni;1_pok4;10.91 ± 2.23;11.54 ± 2.10;0.64 [1.23, 0.05];0.33;-2.174;43;.035;132.5;.038;0.31
1_verbalni_pamet_a_uceni;1_pok5;4.93 ± 1.68;5.04 ± 1.84;0.11 [0.57, -0.34];0.08;-0.503;43;.617;297.5;.572;0.08
1_verbalni_pamet_a_uceni;1_pok6;9.14 ± 2.54;9.96 ± 2.11;0.82 [1.47, 0.16];0.38;-2.513;43;.016;187.0;.020;0.35
1_verbalni_pamet_a_uceni;1_pok7;8.39 ± 2.57;9.98 ± 2.23;1.65 [2.46, 0.84];0.63;-4.108;42;< .001;91.5;< .001;0.59
1_verbalni_pamet_a_uceni;1_pok_1.4;35.75 ± 7.17;39.52 ± 7.06;3.77 [5.68, 1.86];0.60;-3.985;43;< .001;186.0;< .001;0.54
1_verbalni_pamet_a_uceni;1_rekog_nuc_volba;13.89 ± 0.32;13.93 ± 0.26;0.05 [0.18, -0.08];0.11;-0.703;43;.486;13.5;.530;0.11
1_verbalni_pamet_a_uceni;1_rekog_sumSeznam1;12.96 ± 1.27;13.41 ± 0.82;0.45 [0.81, 0.10];0.39;-2.576;43;.014;61.5;.016;0.36
1_verbalni_pamet_a_uceni;1_rekognice_sumHS;45.98 ± 2.11;46.70 ± 1.23;0.73 [1.43, 0.02];0.31;-2.083;43;.043;157.5;.045;0.30
20_rozpoznavani_emoci;20_suma_body;24.27 ± 4.35;26.00 ± 3.52;1.73 [2.81, 0.64];0.48;-3.213;43;.002;171.5;.002;0.47
21_teorie_mysli;21_sum_body;13.70 ± 1.82;14.30 ± 1.37;0.59 [1.14, 0.05];0.33;-2.183;43;.034;144.0;.023;0.34
2_pamet_na_pribehy_ODDALENE;2_pribeh1_odd_sum1;15.59 ± 7.39;17.27 ± 8.04;1.68 [3.39, -0.02];0.30;-1.988;43;.053;283.0;.137;0.20
2_pamet_na_pribehy_ODDALENE;2_pribeh2_odd_sum;8.64 ± 7.93;10.34 ± 6.84;1.70 [3.35, 0.06];0.31;-2.088;43;.043;241.0;.038;0.34
2_pamet_na_pribehy_ODDALENE;2_sum_1_2;24.23 ± 14.07;27.61 ± 12.81;3.39 [6.02, 0.75];0.39;-2.592;43;.013;267.0;.021;0.35
2_pamet_na_pribehy_OKAMZITE;2_pribeh1_ok_sum;19.27 ± 9.51;21.09 ± 8.88;1.82 [3.77, -0.14];0.28;-1.875;43;.068;311.5;.124;0.22
2_pamet_na_pribehy_OKAMZITE;2_pribeh2_ok_sum;12.39 ± 10.86;14.86 ± 10.42;2.48 [3.98, 0.98];0.50;-3.333;43;.002;185.5;.003;0.47
2_pamet_na_pribehy_OKAMZITE;2_sum_1_2;31.66 ± 19.00;35.95 ± 17.64;4.30 [7.07, 1.53];0.47;-3.127;43;.003;208.0;.004;0.44
3_neverbalni_pamet;3_sumP1.4;50.45 ± 18.42;55.14 ± 15.19;4.68 [9.08, 0.29];0.32;-2.148;43;.037;265.0;.032;0.33
3_neverbalni_pamet;3_sumodd;15.16 ± 5.73;17.52 ± 5.02;2.36 [4.07, 0.65];0.42;-2.788;43;.008;201.5;.005;0.43
4_sluchova_pozornost;4_inhibice;0.23 ± 1.07;0.88 ± 5.64;0.67 [2.40, -1.06];0.12;-0.787;42;.436;4.5;1.000;0.00
4_sluchova_pozornost;4_opomenuti;0.48 ± 0.93;0.23 ± 0.61;-0.23 [0.07, -0.53];-0.24;1.569;42;.124;69.0;.095;0.29
4_sluchova_pozornost;4_sum_body;31.52 ± 0.93;31.77 ± 0.61;0.23 [0.53, -0.07];0.24;-1.569;42;.124;22.0;.095;0.29
4_sluchova_pozornost;4_zamena;0.14 ± 0.46;0.02 ± 0.15;-0.12 [0.02, -0.25];-0.26;1.703;42;.096;6.0;.174;0.26
5_zrakova_pozornost;5_n_hlav;80.41 ± 27.77;91.54 ± 23.89;11.14 [15.66, 6.61];0.75;-4.960;43;< .001;123.0;< .001;0.64
5_zrakova_pozornost;5_n_opomenuti;1.75 ± 2.67;2.36 ± 3.91;0.61 [1.94, -0.71];0.14;-0.934;43;.355;243.5;.704;0.08
5_zrakova_pozornost;5_n_zamena;0.59 ± 1.40;0.20 ± 0.55;-0.39 [0.07, -0.85];-0.26;1.694;43;.098;88.5;.102;0.21
6_trideni;6_suma_body;8.70 ± 3.79;9.68 ± 3.80;0.98 [1.87, 0.09];0.33;-2.213;43;.032;274.0;.042;0.31
8_pracovni_pamet;8_sumaHS;10.11 ± 3.87;9.25 ± 3.30;-0.86 [0.34, -2.06];-0.22;1.450;43;.154;543.5;.144;0.23
